go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0042995	cell projection	cellular_component	13	91	1467	34268	3.34	1.317e-04	1.125e-02		LOC120019576,LOC120020307,LOC120031305,LOC120032363,LOC120036268,LOC120053194,LOC120053598,LOC120056235,LOC120057339,LOC120062883,LOC120066718,cracr2b,sh3yl1
GO:0090257	regulation of muscle system process	biological_process	3	91	43	34268	26.27	2.070e-04	1.125e-02	Y	LOC120030672,LOC120046589,LOC120056805
GO:0006937	regulation of muscle contraction	biological_process	3	91	43	34268	26.27	2.070e-04	1.125e-02	Y	LOC120030672,LOC120046589,LOC120056805
GO:0120025	plasma membrane bounded cell projection	cellular_component	12	91	1427	34268	3.17	3.919e-04	1.597e-02		LOC120019576,LOC120020307,LOC120031305,LOC120036268,LOC120053194,LOC120053598,LOC120056235,LOC120057339,LOC120062883,LOC120066718,cracr2b,sh3yl1
GO:0051668	localization within membrane	biological_process	6	91	429	34268	5.27	1.011e-03	3.297e-02		LOC120032363,LOC120046589,LOC120056503,LOC120060868,cracr2b,vps50
GO:0072657	protein localization to membrane	biological_process	4	91	232	34268	6.49	3.453e-03	8.367e-02		LOC120032363,LOC120046589,LOC120060868,cracr2b
GO:0044057	regulation of system process	biological_process	3	91	124	34268	9.11	4.456e-03	8.367e-02		LOC120030672,LOC120046589,LOC120056805
GO:0046914	transition metal ion binding	molecular_function	11	91	1670	34268	2.48	4.707e-03	8.367e-02		LOC120020909,LOC120028089,LOC120032728,LOC120035702,LOC120038650,LOC120042129,LOC120053938,LOC120056031,LOC120065642,LOC120066682,cpn1
GO:0043005	neuron projection	cellular_component	8	91	1015	34268	2.97	5.623e-03	8.367e-02		LOC120020307,LOC120031305,LOC120053194,LOC120056235,LOC120057339,LOC120062883,LOC120066718,cracr2b
GO:0004879	nuclear receptor activity	molecular_function	3	91	150	34268	7.53	7.539e-03	8.367e-02		LOC120053938,LOC120056031,LOC120066682
GO:0098531	ligand-modulated transcription factor activity	molecular_function	3	91	150	34268	7.53	7.539e-03	8.367e-02		LOC120053938,LOC120056031,LOC120066682
GO:0008270	zinc ion binding	molecular_function	9	91	1311	34268	2.59	8.083e-03	8.367e-02		LOC120020909,LOC120032728,LOC120035702,LOC120038650,LOC120053938,LOC120056031,LOC120065642,LOC120066682,cpn1
GO:0098609	cell-cell adhesion	biological_process	6	91	663	34268	3.41	8.538e-03	8.367e-02		LOC120020307,LOC120025537,LOC120045058,LOC120054371,LOC120056781,LOC120066463
GO:0008081	phosphoric diester hydrolase activity	molecular_function	3	91	163	34268	6.93	9.454e-03	8.367e-02		LOC120024897,LOC120053718,gde1
GO:0072659	protein localization to plasma membrane	biological_process	3	91	166	34268	6.81	9.932e-03	8.367e-02		LOC120032363,LOC120046589,cracr2b
GO:0030695	GTPase regulator activity	molecular_function	6	91	687	34268	3.29	1.006e-02	8.367e-02		LOC120032530,LOC120065085,asap1a,iqsec3a,sh2d3a,triob
GO:0007420	brain development	biological_process	3	91	167	34268	6.76	1.009e-02	8.367e-02		LOC120020307,LOC120057339,LOC120066463
GO:0060322	head development	biological_process	3	91	167	34268	6.76	1.009e-02	8.367e-02		LOC120020307,LOC120057339,LOC120066463
GO:0030054	cell junction	cellular_component	10	91	1616	34268	2.33	1.061e-02	8.367e-02		LOC120019576,LOC120020198,LOC120020307,LOC120032363,LOC120054371,LOC120056781,LOC120057339,LOC120066718,cracr2b,mpp6b
GO:0060589	nucleoside-triphosphatase regulator activity	molecular_function	6	91	699	34268	3.23	1.089e-02	8.367e-02		LOC120032530,LOC120065085,asap1a,iqsec3a,sh2d3a,triob
GO:0009101	glycoprotein biosynthetic process	biological_process	3	91	181	34268	6.24	1.253e-02	8.367e-02		LOC120048047,LOC120049548,LOC120055734
GO:0006468	protein phosphorylation	biological_process	8	91	1174	34268	2.57	1.288e-02	8.367e-02		LOC120020909,LOC120043213,LOC120045630,LOC120053194,LOC120065642,map4k3a,nek7,triob
GO:1990778	protein localization to cell periphery	biological_process	3	91	184	34268	6.14	1.310e-02	8.367e-02		LOC120032363,LOC120046589,cracr2b
GO:0051049	regulation of transport	biological_process	5	91	535	34268	3.52	1.413e-02	8.367e-02		LOC120019576,LOC120024458,LOC120030672,LOC120034415,cracr2b
GO:0043087	regulation of GTPase activity	biological_process	4	91	351	34268	4.29	1.440e-02	8.367e-02		LOC120032530,LOC120040412,LOC120065085,asap1a
GO:0004672	protein kinase activity	molecular_function	8	91	1201	34268	2.51	1.459e-02	8.367e-02		LOC120020909,LOC120043213,LOC120045630,LOC120053194,LOC120065642,map4k3a,nek7,triob
