go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0005344	oxygen carrier activity	molecular_function	18	920	41	34266	16.35	5.049e-18	1.515e-15	Y	LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0005833	hemoglobin complex	cellular_component	18	920	41	34266	16.35	5.049e-18	1.515e-15		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0031720	haptoglobin binding	molecular_function	18	920	41	34266	16.35	5.049e-18	1.515e-15		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0031838	haptoglobin-hemoglobin complex	cellular_component	18	920	41	34266	16.35	5.049e-18	1.515e-15		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0015671	oxygen transport	biological_process	18	920	46	34266	14.57	6.207e-17	1.490e-14	Y	LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0019825	oxygen binding	molecular_function	18	920	51	34266	13.15	5.416e-16	1.083e-13	Y	LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0015669	gas transport	biological_process	18	920	52	34266	12.89	8.076e-16	1.385e-13		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0042744	hydrogen peroxide catabolic process	biological_process	18	920	53	34266	12.65	1.193e-15	1.590e-13		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0042743	hydrogen peroxide metabolic process	biological_process	18	920	53	34266	12.65	1.193e-15	1.590e-13		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0072593	reactive oxygen species metabolic process	biological_process	20	920	86	34266	8.66	1.064e-13	1.277e-11	Y	LOC120027734,LOC120031281,LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
