BioSample,Ecotype,Library Name,library,strain
SAMN04590683,Lean nonparasitized,NPLL32_R1,NPLL32,2
SAMN04590683,Lean nonparasitized,NPLL32_R2,NPLL32,2
SAMN04590683,Lean nonparasitized,NPLL32_R3,NPLL32,2
SAMN04590683,Lean nonparasitized,NPLL34_R1,NPLL34,2
SAMN04590683,Lean nonparasitized,NPLL34_R2,NPLL34,2
SAMN04590683,Lean nonparasitized,NPLL34_R3,NPLL34,2
SAMN04590683,Lean nonparasitized,NPLL44_R1,NPLL44,2
SAMN04590683,Lean nonparasitized,NPLL44_R2,NPLL44,2
SAMN04590683,Lean nonparasitized,NPLL44_R3,NPLL44,2
SAMN04590683,Lean nonparasitized,NPLL46_R1,NPLL46,2
SAMN04590683,Lean nonparasitized,NPLL46_R2,NPLL46,2
SAMN04590683,Lean nonparasitized,NPLL46_R3,NPLL46,2
SAMN04590683,Lean nonparasitized,NPLL56_R1,NPLL56,2
SAMN04590683,Lean nonparasitized,NPLL56_R2,NPLL56,2
SAMN04590683,Lean nonparasitized,NPLL56_R3,NPLL56,2
SAMN04590683,Lean nonparasitized,NPLL61_R1,NPLL61,2
SAMN04590683,Lean nonparasitized,NPLL61_R2,NPLL61,2
SAMN04590683,Lean nonparasitized,NPLL61_R3,NPLL61,2
SAMN04590685,Sicowet nonparasitized,NPSL15_R1,NPSL15,4
SAMN04590685,Sicowet nonparasitized,NPSL15_R2,NPSL15,4
SAMN04590685,Sicowet nonparasitized,NPSL15_R3,NPSL15,4
SAMN04590685,Sicowet nonparasitized,NPSL24_R1,NPSL24,4
SAMN04590685,Sicowet nonparasitized,NPSL24_R2,NPSL24,4
SAMN04590685,Sicowet nonparasitized,NPSL24_R3,NPSL24,4
SAMN04590685,Sicowet nonparasitized,NPSL29_R1,NPSL29,4
SAMN04590685,Sicowet nonparasitized,NPSL29_R2,NPSL29,4
SAMN04590685,Sicowet nonparasitized,NPSL29_R3,NPSL29,4
SAMN04590685,Sicowet nonparasitized,NPSL36_R1,NPSL36,4
SAMN04590685,Sicowet nonparasitized,NPSL36_R2,NPSL36,4
SAMN04590685,Sicowet nonparasitized,NPSL36_R3,NPSL36,4
SAMN04590685,Sicowet nonparasitized,NPSL50_R1,NPSL50,4
SAMN04590685,Sicowet nonparasitized,NPSL50_R2,NPSL50,4
SAMN04590685,Sicowet nonparasitized,NPSL50_R3,NPSL50,4
SAMN04590685,Sicowet nonparasitized,NPSL58_R1,NPSL58,4
SAMN04590685,Sicowet nonparasitized,NPSL58_R2,NPSL58,4
SAMN04590685,Sicowet nonparasitized,NPSL58_R3,NPSL58,4
SAMN04590682,Lean parasitized,PLL20_R1,PLL20,1
SAMN04590682,Lean parasitized,PLL20_R2,PLL20,1
SAMN04590682,Lean parasitized,PLL20_R3,PLL20,1
SAMN04590682,Lean parasitized,PLL31_R1,PLL31,1
SAMN04590682,Lean parasitized,PLL31_R2,PLL31,1
SAMN04590682,Lean parasitized,PLL31_R3,PLL31,1
SAMN04590682,Lean parasitized,PLL43_R1,PLL43,1
SAMN04590682,Lean parasitized,PLL43_R2,PLL43,1
SAMN04590682,Lean parasitized,PLL43_R3,PLL43,1
SAMN04590682,Lean parasitized,PLL55_R1,PLL55,1
SAMN04590682,Lean parasitized,PLL55_R2,PLL55,1
SAMN04590682,Lean parasitized,PLL55_R3,PLL55,1
SAMN04590682,Lean parasitized,PLL59_R1,PLL59,1
SAMN04590682,Lean parasitized,PLL59_R2,PLL59,1
SAMN04590682,Lean parasitized,PLL59_R3,PLL59,1
SAMN04590682,Lean parasitized,PLL62_R1,PLL62,1
SAMN04590682,Lean parasitized,PLL62_R2,PLL62,1
SAMN04590682,Lean parasitized,PLL62_R3,PLL62,1
SAMN04590684,Siscowet parasitized,PSL13_R1,PSL13,3
SAMN04590684,Siscowet parasitized,PSL13_R2,PSL13,3
SAMN04590684,Siscowet parasitized,PSL13_R3,PSL13,3
SAMN04590684,Siscowet parasitized,PSL16_R1,PSL16,3
SAMN04590684,Siscowet parasitized,PSL16_R2,PSL16,3
SAMN04590684,Siscowet parasitized,PSL16_R3,PSL16,3
SAMN04590684,Siscowet parasitized,PSL35_R1,PSL35,3
SAMN04590684,Siscowet parasitized,PSL35_R2,PSL35,3
SAMN04590684,Siscowet parasitized,PSL35_R3,PSL35,3
SAMN04590684,Siscowet parasitized,PSL49_R1,PSL49,3
SAMN04590684,Siscowet parasitized,PSL49_R2,PSL49,3
SAMN04590684,Siscowet parasitized,PSL49_R3,PSL49,3
SAMN04590684,Siscowet parasitized,PSL53_R1,PSL53,3
SAMN04590684,Siscowet parasitized,PSL53_R2,PSL53,3
SAMN04590684,Siscowet parasitized,PSL53_R3,PSL53,3
SAMN04590684,Siscowet parasitized,PSL63_R1,PSL63,3
SAMN04590684,Siscowet parasitized,PSL63_R2,PSL63,3
SAMN04590684,Siscowet parasitized,PSL63_R3,PSL63,3
