[M::mm_idx_gen::53.814*1.37] collected minimizers
[M::mm_idx_gen::56.622*2.92] sorted minimizers
[M::main::56.622*2.92] loaded/built the index for 24184 target sequence(s)
[M::mm_mapopt_update::59.004*2.84] mid_occ = 500
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 24184
[M::mm_idx_stat::60.608*2.79] distinct minimizers: 111580803 (63.53% are singletons); average occurrences: 3.654; average spacing: 9.830; total length: 4008351139
[M::worker_pipeline::121.975*19.70] mapped 65452 sequences
[M::worker_pipeline::208.865*27.69] mapped 73445 sequences
[M::worker_pipeline::468.244*34.42] mapped 83170 sequences
[M::worker_pipeline::519.228*34.86] mapped 70461 sequences
[M::worker_pipeline::574.290*35.27] mapped 74168 sequences
[M::worker_pipeline::650.557*35.80] mapped 78299 sequences
[M::worker_pipeline::728.619*36.22] mapped 83896 sequences
[M::worker_pipeline::830.812*36.61] mapped 91700 sequences
[M::worker_pipeline::1095.994*37.40] mapped 95665 sequences
[M::worker_pipeline::1282.770*37.73] mapped 78564 sequences
[M::worker_pipeline::1328.953*37.81] mapped 78315 sequences
[M::worker_pipeline::1401.724*37.87] mapped 82491 sequences
[M::worker_pipeline::1473.603*37.96] mapped 87251 sequences
[M::worker_pipeline::1562.590*38.00] mapped 93501 sequences
[M::worker_pipeline::1692.765*38.12] mapped 104064 sequences
[M::worker_pipeline::2039.962*38.38] mapped 92685 sequences
[M::worker_pipeline::2090.840*38.41] mapped 74915 sequences
[M::worker_pipeline::2151.170*38.45] mapped 78629 sequences
[M::worker_pipeline::2222.179*38.49] mapped 82955 sequences
[M::worker_pipeline::2299.221*38.52] mapped 88636 sequences
[M::worker_pipeline::2399.747*38.56] mapped 96917 sequences
[M::worker_pipeline::2649.645*38.68] mapped 101105 sequences
[M::worker_pipeline::2853.928*38.77] mapped 74900 sequences
[M::worker_pipeline::2906.695*38.75] mapped 69550 sequences
[M::worker_pipeline::2980.240*38.77] mapped 73342 sequences
[M::worker_pipeline::3062.654*38.76] mapped 77878 sequences
[M::worker_pipeline::3161.593*38.79] mapped 84779 sequences
[M::worker_pipeline::3380.763*38.85] mapped 92792 sequences
[M::worker_pipeline::3643.907*38.92] mapped 75231 sequences
[M::worker_pipeline::3694.514*38.93] mapped 71683 sequences
[M::worker_pipeline::3763.621*38.94] mapped 75618 sequences
[M::worker_pipeline::3842.299*38.94] mapped 79711 sequences
[M::worker_pipeline::3933.443*38.93] mapped 86015 sequences
[M::worker_pipeline::4074.568*38.95] mapped 95806 sequences
[M::worker_pipeline::4421.515*39.02] mapped 83430 sequences
[M::worker_pipeline::4470.139*39.03] mapped 71852 sequences
[M::worker_pipeline::4539.963*38.98] mapped 75350 sequences
[M::worker_pipeline::4613.914*38.98] mapped 79728 sequences
[M::worker_pipeline::4694.419*38.98] mapped 85024 sequences
[M::worker_pipeline::4806.598*38.99] mapped 93464 sequences
[M::worker_pipeline::5128.087*39.03] mapped 92864 sequences
[M::worker_pipeline::5204.476*39.03] mapped 10665 sequences
[M::worker_pipeline::5275.932*39.00] mapped 63550 sequences
[M::worker_pipeline::5423.178*39.02] mapped 77401 sequences
[M::worker_pipeline::5553.958*39.04] mapped 68233 sequences
[M::worker_pipeline::5617.789*39.05] mapped 71991 sequences
[M::worker_pipeline::5702.154*39.05] mapped 78151 sequences
[M::worker_pipeline::5814.633*39.06] mapped 89093 sequences
[M::worker_pipeline::6094.948*39.09] mapped 82553 sequences
[M::worker_pipeline::6150.770*39.06] mapped 74226 sequences
[M::worker_pipeline::6224.029*39.07] mapped 80299 sequences
[M::worker_pipeline::6309.315*39.07] mapped 88340 sequences
[M::worker_pipeline::6510.148*39.09] mapped 98031 sequences
[M::worker_pipeline::6676.086*39.10] mapped 75022 sequences
[M::worker_pipeline::6743.363*39.08] mapped 75090 sequences
[M::worker_pipeline::6820.955*39.08] mapped 81576 sequences
[M::worker_pipeline::6920.764*39.09] mapped 92092 sequences
[M::worker_pipeline::7216.557*39.11] mapped 88046 sequences
[M::worker_pipeline::7267.541*39.10] mapped 65384 sequences
[M::worker_pipeline::7347.776*39.11] mapped 70427 sequences
[M::worker_pipeline::7436.403*39.11] mapped 77744 sequences
[M::worker_pipeline::7648.043*39.12] mapped 87577 sequences
[M::worker_pipeline::7831.911*39.13] mapped 69572 sequences
