gene_id	symbol	product	biotype	lean_del_n	lean_del_bp	sisco_del_n	sisco_del_bp	lean_ins_n	sisco_ins_n	ecotype_skew_note
gene-CXG42_mgp02	ND6		protein_coding	0	0	1	60	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-CXG42_mgp07	COX3		protein_coding	0	0	1	675	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-CXG42_mgp13	ND1		protein_coding	1	72	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017344	LOC120017344	threonine--tRNA ligase 1, cytoplasmic-like	protein_coding	16	5625	13	7031	18	96	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017345	LOC120017345	anthrax toxin receptor 2-like	protein_coding	37	9213	47	11751	82	132	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017347	LOC120017347	putative protein TPRXL	protein_coding	9	2711	10	5083	12	15	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017348	LOC120017348	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	protein_coding	32	9514	32	8864	86	64	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017349	LOC120017349	paladin-like	protein_coding	19	7224	18	7734	45	33	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017350	LOC120017350		pseudogene	0	0	1	92	3	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017351	LOC120017351	pyroglutamylated RF-amide peptide receptor-like	protein_coding	1	53	0	0	0	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017352	LOC120017352	steroidogenic acute regulatory protein, mitochondrial-like	protein_coding	7	652	4	588	8	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017354	LOC120017354	A disintegrin and metalloproteinase with thrombospondin motifs 3-like	protein_coding	19	8956	22	7422	123	256	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017355	LOC120017355	stonustoxin subunit beta-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017356	LOC120017356	NLR family CARD domain-containing protein 3-like	protein_coding	2	106	4	558	0	7	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017357	LOC120017357	cadherin-23-like	protein_coding	8	2337	5	5060	7	21	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017361	LOC120017361	zinc metalloproteinase nas-4-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017362	LOC120017362	adenosine kinase-like	protein_coding	1	96	2	360	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017363	LOC120017363	golgin subfamily A member 6-like protein 22	protein_coding	0	0	0	0	0	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017366	LOC120017366	golgin subfamily A member 6-like protein 22	protein_coding	0	0	3	344	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017367	LOC120017367	adenosine kinase-like	protein_coding	1	51	3	503	2	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017370	LOC120017370	centromere protein K-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017373	LOC120017373		pseudogene	0	0	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017386	LOC120017386	sorbin and SH3 domain-containing protein 1-like	protein_coding	2	326	2	108	4	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017391	LOC120017391	adhesion G protein-coupled receptor A1-like	protein_coding	0	0	0	0	8	9	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017393	LOC120017393	gamma-aminobutyric acid receptor subunit pi-like	protein_coding	2	420	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017396	LOC120017396	serine/threonine-protein kinase 32C-like	protein_coding	0	0	1	6208	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017399	LOC120017399	alpha-2,8-sialyltransferase 8F-like	protein_coding	1	5219	1	114	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017401	LOC120017401	transient receptor potential cation channel subfamily V member 5	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017403	LOC120017403	cullin-9-like	protein_coding	1	222	1	245	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017404	LOC120017404	uncharacterized LOC120017404	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017406	LOC120017406	inactive ubiquitin carboxyl-terminal hydrolase 54-like	protein_coding	0	0	0	0	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017407	LOC120017407	synaptopodin 2-like protein	protein_coding	2	277	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017408	LOC120017408	arsenite methyltransferase-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017409	LOC120017409		pseudogene	0	0	0	0	0	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017417	LOC120017417	potassium channel subfamily K member 18-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017418	LOC120017418	synaptic vesicular amine transporter-like	protein_coding	0	0	0	0	3	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017422	LOC120017422	rap1 GTPase-GDP dissociation stimulator 1-like	protein_coding	1	95	0	0	3	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017426	LOC120017426	cytosolic purine 5'-nucleotidase-like	protein_coding	1	52	0	0	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017429	LOC120017429	uncharacterized LOC120017429	protein_coding	2	132	1	120	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017430	LOC120017430	protocadherin-15-like	protein_coding	3	303	7	2997	19	13	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017432	LOC120017432	uncharacterized LOC120017432	protein_coding	0	0	0	0	1	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017433	LOC120017433	opioid growth factor receptor-like protein 1	protein_coding	0	0	2	738	1	3	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017434	LOC120017434	uncharacterized LOC120017434	protein_coding	1	58	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017439	LOC120017439	E3 ubiquitin-protein ligase NEURL1-like	protein_coding	0	0	1	85	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017440	LOC120017440	VPS10 domain-containing receptor SorCS3-like	protein_coding	7	636	14	2122	3	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017443	LOC120017443	polymeric immunoglobulin receptor-like	protein_coding	0	0	1	243	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017444	LOC120017444	serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	protein_coding	11	2127	10	1636	30	16	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017446	LOC120017446	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	protein_coding	0	0	0	0	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017447	LOC120017447	F-box/LRR-repeat protein 15-like	protein_coding	5	1029	3	1709	9	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017448	LOC120017448		pseudogene	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017450	LOC120017450	uncharacterized LOC120017450	lncRNA	3	1568	2	337	6	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017454	LOC120017454	dnaJ homolog subfamily B member 12-like	protein_coding	0	0	0	0	7	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017455	LOC120017455	dnaJ homolog subfamily B member 12-like	protein_coding	1	233	0	0	4	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017456	LOC120017456	dnaJ homolog subfamily B member 12-like	protein_coding	1	66	2	158	4	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017459	LOC120017459	protein RRP5 homolog	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017462	LOC120017462	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	protein_coding	25	5118	37	7404	51	40	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017463	LOC120017463	myosin heavy chain, fast skeletal muscle-like	protein_coding	1	125	2	402	3	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017464	LOC120017464	myosin heavy chain, fast skeletal muscle-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017465	LOC120017465	myosin heavy chain, fast skeletal muscle-like	protein_coding	2	240	0	0	14	10	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017466	LOC120017466	DNA-directed RNA polymerase III subunit RPC1	protein_coding	37	6021	57	19042	45	84	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017469	LOC120017469	eukaryotic translation initiation factor 3 subunit L	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017472	LOC120017472	fibroblast growth factor receptor 2-like	protein_coding	2	3707	1	341	3	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017473	LOC120017473	arginyl-tRNA--protein transferase 1	protein_coding	1	56	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017475	LOC120017475	protein FAM160B1-like	protein_coding	0	0	0	0	5	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017476	LOC120017476	serum response factor-like	protein_coding	1	220	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017477	LOC120017477	inactive tyrosine-protein kinase 7-like	protein_coding	0	0	1	219	2	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017482	LOC120017482	vicilin-like seed storage protein At2g18540	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017497	LOC120017497	prominin-1-A-like	protein_coding	1	149	2	148	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017498	LOC120017498	LIM domain-binding protein 1-like	protein_coding	0	0	1	70	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017499	LOC120017499	peroxisome proliferator-activated receptor gamma coactivator-related protein 1-like	protein_coding	2	175	0	0	3	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017501	LOC120017501	suppressor of fused homolog	protein_coding	0	0	1	56	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017504	LOC120017504	anthrax toxin receptor 1-like	protein_coding	0	0	1	51	1	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017518	LOC120017518	SEC23 interacting protein	protein_coding	1	58	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017521	LOC120017521	meiosis regulator and mRNA stability factor 1	protein_coding	1	878	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017523	LOC120017523	phosphoinositide 3-kinase adapter protein 1-like	protein_coding	1	307	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017525	LOC120017525	uncharacterized LOC120017525	lncRNA	1	2759	2	1914	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017527	LOC120017527	eukaryotic translation initiation factor 3 subunit A-like	protein_coding	1	668	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017535	LOC120017535	regulator of microtubule dynamics protein 2-like	protein_coding	0	0	1	96	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017536	LOC120017536	kynurenine 3-monooxygenase-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017539	LOC120017539	cytoplasmic polyadenylation element-binding protein 3-like	protein_coding	0	0	0	0	0	2	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017540	LOC120017540	E3 ubiquitin-protein ligase MARCHF5-like	protein_coding	0	0	0	0	2	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017541	LOC120017541	TATA-binding protein-associated factor 172-like	protein_coding	0	0	0	0	1	5	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017544	LOC120017544	multidrug resistance-associated protein 1-like	protein_coding	0	0	1	228	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017546	LOC120017546	DNA nucleotidylexotransferase-like	protein_coding	4	630	3	219	3	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017547	LOC120017547	inositol polyphosphate-5-phosphatase A-like	protein_coding	2	663	1	253	5	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017566	LOC120017566	uncharacterized LOC120017566	lncRNA	0	0	1	228	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017568	LOC120017568	adenylate cyclase type 9-like	protein_coding	5	811	2	794	0	12	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017569	LOC120017569	echinoderm microtubule-associated protein-like 4	protein_coding	0	0	2	170	1	6	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017572	LOC120017572	protein quaking	protein_coding	5	2076	3	354	2	4	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017580	LOC120017580	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	protein_coding	0	0	1	2121	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017581	LOC120017581	zinc finger protein 318-like	protein_coding	0	0	0	0	0	1	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017598	LOC120017598	glutamate dehydrogenase, mitochondrial-like	protein_coding	2	351	1	1019	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017601	LOC120017601	bone morphogenetic protein receptor type-1A-like	protein_coding	1	336	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017603	LOC120017603	ras-related protein ORAB-1-like	protein_coding	0	0	0	0	1	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017604	LOC120017604	SAFB-like transcription modulator	protein_coding	3	796	5	2194	17	32	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017611	LOC120017611	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1-like	protein_coding	0	0	0	0	2	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017615	LOC120017615	PDZ domain-containing protein 8-like	protein_coding	0	0	2	130	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017617	LOC120017617	GTPase IMAP family member 7-like	protein_coding	0	0	0	0	3	16	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017624	LOC120017624	sphingolipid delta(4)-desaturase DES1-like	protein_coding	2	3969	0	0	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
gene-LOC120017628	LOC120017628	coiled-coil-helix-coiled-coil-helix domain-containing protein 1-like	protein_coding	0	0	1	120	0	0	lean-reference: siscowet-specific & deletion counts inflated by divergence
