chrom	length	bases	mean	min	max
ptg000001l_1	456554	4678219	10.25	0	118
ptg000001l_1_region	456554	4678219	10.25	0	118
ptg000003l_1	661806	6065113	9.16	0	33
ptg000003l_1_region	661806	6065113	9.16	0	33
ptg000004l_1	675249	1989343	2.95	0	29
ptg000004l_1_region	675249	1989343	2.95	0	29
ptg000006l_1	1353028	11494717	8.50	0	64
ptg000006l_1_region	1353028	11494717	8.50	0	64
ptg000007l_1	555775	5304618	9.54	0	41
ptg000007l_1_region	555775	5304618	9.54	0	41
ptg000008l_1	206579	1536409	7.44	0	29
ptg000008l_1_region	206579	1536409	7.44	0	29
ptg000009l_1	129473	560331	4.33	0	32
ptg000009l_1_region	129473	560331	4.33	0	32
ptg000010l_1	1544933	13867510	8.98	0	48
ptg000010l_1_region	1544933	13867510	8.98	0	48
ptg000011l_1	262797	1982242	7.54	0	28
ptg000011l_1_region	262797	1982242	7.54	0	28
ptg000012l_1	454269	3922500	8.63	0	28
ptg000012l_1_region	454269	3922500	8.63	0	28
ptg000013l_1	947635	7426194	7.84	0	22
ptg000013l_1_region	947635	7426194	7.84	0	22
ptg000014l_1	199776	4401836	22.03	0	1968
ptg000014l_1_region	199776	4401836	22.03	0	1968
ptg000015l_1	1045151	6737527	6.45	0	25
ptg000015l_1_region	1045151	6737527	6.45	0	25
ptg000016l_1	1989504	16270932	8.18	0	34
ptg000016l_1_region	1989504	16270932	8.18	0	34
ptg000017l_1	1102765	9619952	8.72	0	33
ptg000017l_1_region	1102765	9619952	8.72	0	33
ptg000019l_1	410913	2452934	5.97	0	24
ptg000019l_1_region	410913	2452934	5.97	0	24
ptg000020l_1	166851	2158324	12.94	0	44
ptg000020l_1_region	166851	2158324	12.94	0	44
ptg000021l_1	2311804	20826963	9.01	0	58
ptg000021l_1_region	2311804	20826963	9.01	0	58
ptg000022l_1	195118	1338518	6.86	0	16
ptg000022l_1_region	195118	1338518	6.86	0	16
ptg000023l_1	1562883	11819852	7.56	0	28
ptg000023l_1_region	1562883	11819852	7.56	0	28
ptg000024l_1	289217	2483789	8.59	0	25
ptg000024l_1_region	289217	2483789	8.59	0	25
ptg000025l_1	259844	1519196	5.85	0	19
ptg000025l_1_region	259844	1519196	5.85	0	19
ptg000027l_1	200354	1724618	8.61	0	19
ptg000027l_1_region	200354	1724618	8.61	0	19
ptg000028l_1	674488	5331463	7.90	0	25
ptg000028l_1_region	674488	5331463	7.90	0	25
ptg000029l_1	82275	630974	7.67	0	21
ptg000029l_1_region	82275	630974	7.67	0	21
ptg000030l_1	26654	183118	6.87	0	15
ptg000030l_1_region	26654	183118	6.87	0	15
ptg000031l_1	902559	7333934	8.13	0	35
ptg000031l_1_region	902559	7333934	8.13	0	35
ptg000032l_1	550934	4545076	8.25	0	28
ptg000032l_1_region	550934	4545076	8.25	0	28
ptg000033l_1	743094	6121943	8.24	0	42
ptg000033l_1_region	743094	6121943	8.24	0	42
ptg000036l_1	438715	3612704	8.23	0	24
ptg000036l_1_region	438715	3612704	8.23	0	24
ptg000037l_1	459563	3571833	7.77	0	28
ptg000037l_1_region	459563	3571833	7.77	0	28
ptg000039l_1	109028	803342	7.37	0	24
ptg000039l_1_region	109028	803342	7.37	0	24
ptg000041l_1	230595	1356604	5.88	0	47
ptg000041l_1_region	230595	1356604	5.88	0	47
ptg000042l_1	379713	3219754	8.48	0	24
ptg000042l_1_region	379713	3219754	8.48	0	24
ptg000043l_1	713520	6283441	8.81	0	36
ptg000043l_1_region	713520	6283441	8.81	0	36
ptg000045l_1	372665	2830516	7.60	0	23
ptg000045l_1_region	372665	2830516	7.60	0	23
ptg000046l_1	3287143	28443821	8.65	0	42
ptg000046l_1_region	3287143	28443821	8.65	0	42
ptg000048l_1	881716	8099659	9.19	0	21
ptg000048l_1_region	881716	8099659	9.19	0	21
ptg000049l_1	2356921	27914880	11.84	0	155
ptg000049l_1_region	2356921	27914880	11.84	0	155
ptg000050l_1	534663	4938208	9.24	0	45
ptg000050l_1_region	534663	4938208	9.24	0	45
ptg000051l_1	1890847	15785392	8.35	0	25
ptg000051l_1_region	1890847	15785392	8.35	0	25
ptg000053l_1	1962604	17497322	8.92	0	29
ptg000053l_1_region	1962604	17497322	8.92	0	29
ptg000054l_1	183585	1214498	6.62	0	18
ptg000054l_1_region	183585	1214498	6.62	0	18
ptg000055l_1	637852	5684582	8.91	0	61
ptg000055l_1_region	637852	5684582	8.91	0	61
ptg000056l_1	431851	3762635	8.71	0	23
ptg000056l_1_region	431851	3762635	8.71	0	23
ptg000058l_1	135302	897581	6.63	0	21
ptg000058l_1_region	135302	897581	6.63	0	21
ptg000060l_1	188825	1740163	9.22	0	23
ptg000060l_1_region	188825	1740163	9.22	0	23
ptg000061l_1	144747	880291	6.08	0	43
ptg000061l_1_region	144747	880291	6.08	0	43
ptg000063l_1	984313	7356570	7.47	0	26
ptg000063l_1_region	984313	7356570	7.47	0	26
ptg000064l_1	124707	863499	6.92	0	20
ptg000064l_1_region	124707	863499	6.92	0	20
ptg000065l_1	313630	1699121	5.42	0	18
ptg000065l_1_region	313630	1699121	5.42	0	18
ptg000066l_1	127012	951849	7.49	0	18
ptg000066l_1_region	127012	951849	7.49	0	18
ptg000067l_1	279727	1670317	5.97	0	23
ptg000067l_1_region	279727	1670317	5.97	0	23
ptg000068l_1	1174275	9191472	7.83	0	34
ptg000068l_1_region	1174275	9191472	7.83	0	34
ptg000069l_1	348412	2208563	6.34	0	22
ptg000069l_1_region	348412	2208563	6.34	0	22
